SITECODE,LCODE,VISIT,SDATE,FROMHOUR,FROMMINS,TOHOUR,TOMINS,CLOUD,RAIN,WIND,VISIBILITY
T09,01,E,11-May-02,7,15,8,45,1,1,1,1
T04,03,E,12-May-02,7,0,8,50,1,1,1,1
T05,01,E,12-May-02,7,0,8,0,1,1,1,1
T07,03,E,14-May-02,9,15,9,50,2,1,3,1
T02,02,E,14-May-02,7,20,9,30,,,,
T02,01,E,14-May-02,7,20,9,30,,,,
T07,04,E,14-May-02,7,58,9,15,3,2,3,1
T02,03,E,16-May-02,7,40,9,0,,,,
T12,01,E,01-Jun-02,6,0,7,45,3,1,3,2
T04,01,L,05-Jun-02,12,5,13,25,3,1,2,1
T01,01,L,12-Jun-02,,,,,3,1,2,1
T07,02,L,18-Jun-02,8,45,10,5,3,1,3,1
T07,03,L,18-Jun-02,12,15,13,12,3,1,3,1
T07,04,L,18-Jun-02,11,0,12,15,3,1,3,1
T07,01,L,18-Jun-02,7,50,8,20,3,1,3,1
T04,02,L,19-Jun-02,13,0,14,25,3,1,3,1
T02,03,L,19-Jun-02,6,0,10,0,,,,
T02,02,L,19-Jun-02,6,0,10,0,,,,
T02,01,L,19-Jun-02,6,0,10,0,,,,
T05,01,L,26-Jun-02,7,10,8,5,1,1,1,1
T10,02,L,27-Jun-02,7,40,8,0,0,0,0,3
T10,01,L,27-Jun-02,8,25,9,20,0,0,1,3
T09,01,L,27-Jun-02,7,0,8,25,1,1,1,1
T12,01,L,01-Jul-02,5,45,7,20,3,0,2,2
T06,01,L,10-Jul-02,8,0,9,15,0,0,1,1
T11,01,L,15-Jul-02,9,0,11,7,3,0,1,1
T04,03,L,15-Jul-02,7,30,8,40,2,1,2,1
T04,01,E,09-Apr-03,12,35,13,50,1,1,2,1
T10,02,E,15-Apr-03,7,0,8,0,0,0,0,2
T10,01,E,16-Apr-03,6,15,7,25,0,0,0,3
T06,01,E,30-Apr-03,8,0,9,35,1,0,0,1
T07,01,H,05-May-03,7,45,8,50,2,1,3,1
T07,02,H,05-May-03,8,50,10,7,3,1,3,1
T07,04,H,06-May-03,7,45,9,0,2,1,3,1
T07,03,H,06-May-03,9,0,10,2,3,1,3,1
T04,02,E,07-May-03,13,0,14,20,1,1,3,1
T09,01,E,14-May-03,6,30,7,50,3,1,2,1
T02,02,E,15-May-03,6,15,9,45,,,,
T11,01,E,15-May-03,8,0,10,40,1,0,2,3
T12,01,E,15-May-03,5,35,7,50,2,1,1,1
T02,03,E,15-May-03,6,15,9,45,,,,
T02,01,E,15-May-03,6,15,9,45,,,,
T04,03,E,15-May-03,7,25,8,50,1,1,2,1
T04,01,L,28-May-03,12,30,13,50,3,1,3,2
T11,01,L,09-Jun-03,7,55,10,30,3,1,2,3
T04,02,L,11-Jun-03,11,30,13,0,3,1,3,1
T10,01,L,12-Jun-03,8,5,9,0,0,0,0,0
T10,02,L,12-Jun-03,6,30,7,45,0,0,1,1
T07,02,H,17-Jun-03,8,47,10,20,3,1,1,1
T07,01,H,17-Jun-03,7,49,8,45,3,1,1,1
T07,03,H,19-Jun-03,9,2,10,2,3,1,2,1
T07,04,H,19-Jun-03,7,48,9,0,3,1,2,1
T02,01,L,25-Jun-03,6,30,10,0,,,,
T02,03,L,25-Jun-03,6,30,10,0,,,,
T02,02,L,25-Jun-03,6,30,10,0,,,,
T12,01,L,26-Jun-03,4,5,5,51,2,1,1,1
T09,01,L,26-Jun-03,6,30,7,50,2,1,2,1
T01,01,L,29-Jun-03,8,0,10,45,2,1,2,1
T04,03,L,13-Jul-03,8,5,9,35,1,0,2,1
T06,01,L,15-Jul-03,7,30,9,5,0,0,1,1
T01,01,E,15-Apr-04,7,15,9,10,3,1,2,1
T10,01,E,24-Apr-04,8,15,9,17,0,0,0,1
T10,02,E,24-Apr-04,6,45,8,0,0,0,0,1
