SITECODE,LCODE,VISIT,SDATE,FROMHOUR,FROMMINS,TOHOUR,TOMINS,CLOUD,RAIN,WIND,VISIBILITY
T02,01,L,12-Jun-12,7,20,9,30,3,3,2,1
T04,02,L,13-Jun-12,12,30,14,10,3,1,1,1
T04,01,L,13-Jun-12,12,10,13,16,3,1,1,1
T04,03,L,18-Jun-12,8,30,10,10,1,1,1,3
T11,01,L,20-Jun-12,6,20,7,55,3,2,2,1
T02,03,L,26-Jun-12,8,20,9,40,2,1,2,1
T03,01,L,30-Jun-12,5,50,7,10,1,1,1,1
T09,01,E,20-Apr-13,6,10,8,0,1,0,1,1
T05,01,E,29-Apr-13,6,25,8,44,1,1,2,1
T04,01,E,30-Apr-13,11,5,12,17,1,1,1,1
T02,01,E,02-May-13,7,10,9,20,3,1,2,2
T02,02,E,02-May-13,7,10,9,20,3,1,2,2
T03,01,E,05-May-13,6,40,8,16,3,1,2,2
T04,03,E,14-May-13,11,5,12,13,1,1,3,1
T09,01,L,17-May-13,6,0,7,50,2,0,2,1
T02,03,E,21-May-13,7,0,8,0,3,1,2,1
T04,02,E,28-May-13,12,34,14,10,3,1,2,2
T05,01,L,04-Jun-13,6,22,8,34,1,1,1,1
T04,01,L,05-Jun-13,12,35,13,30,2,1,2,1
T02,02,L,16-Jun-13,7,0,9,0,3,1,1,2
T02,01,L,16-Jun-13,7,0,9,0,3,1,1,2
T04,03,L,20-Jun-13,10,12,11,50,3,1,2,1
T03,01,L,22-Jun-13,6,5,7,40,3,1,2,2
T02,03,L,27-Jun-13,8,0,9,0,3,1,1,1
T04,02,L,09-Jul-13,15,15,17,1,1,1,1,1
T04,03,E,10-Apr-14,10,10,11,25,2,1,2,2
T04,02,E,16-Apr-14,11,5,12,45,3,1,3,1
T04,01,E,16-Apr-14,11,37,12,45,3,1,3,1
T09,01,E,17-Apr-14,6,0,7,30,1,1,2,1
T05,01,E,28-Apr-14,5,53,8,0,3,1,1,1
T02,02,E,08-May-14,7,0,9,30,2,2,1,1
T02,01,E,08-May-14,7,0,9,30,2,2,1,1
T03,01,E,10-May-14,6,20,7,40,2,2,1,1
T02,03,E,15-May-14,7,20,9,55,3,1,1,1
T04,03,L,21-May-14,8,30,10,10,3,1,3,1
T04,01,L,21-May-14,10,50,12,0,1,1,3,1
T09,01,L,30-May-14,6,20,7,40,,,,
T05,01,L,03-Jun-14,5,36,7,30,3,1,1,1
T04,02,L,04-Jun-14,11,0,12,30,3,2,1,1
T02,02,L,17-Jun-14,6,0,9,20,3,2,1,1
T02,01,L,17-Jun-14,6,0,9,20,3,2,1,1
T02,03,L,26-Jun-14,7,30,9,15,3,1,1,1
T03,01,L,28-Jun-14,6,20,7,35,3,2,1,1
T04,01,L,10-Apr-15,10,40,12,0,2,1,3,1
T04,02,E,15-Apr-15,13,55,15,5,2,1,3,1
T04,03,E,22-Apr-15,10,10,11,50,2,1,2,1
T05,01,E,28-Apr-15,6,5,8,15,1,0,1,1
T09,01,E,08-May-15,6,10,7,45,3,1,1,1
T03,01,E,10-May-15,6,40,8,5,3,1,2,1
T04,01,E,13-May-15,10,45,12,0,3,1,2,1
T04,02,L,20-May-15,11,10,12,35,3,1,3,1
T04,03,L,28-May-15,9,35,11,15,2,1,3,3
T05,01,L,03-Jun-15,5,45,7,59,2,1,3,1
T09,01,L,04-Jun-15,6,5,7,45,1,1,1,1
T03,01,L,27-Jun-15,6,10,7,33,1,1,1,1
